Id,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,YearBuilt,YearRemodAdd,Foundation,BsmtExposure,TotalBsmtSF,Heating,CentralAir,Electrical,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,RL,70,11200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,1965,1965,CBlock,No,1040,GasA,Y,SBrkr,1040,1,0,1,0,3,1,5,Typ,0,Detchd,1965,1,384,Y,0,0,0,0,0,0,NA,0,2,2008,WD,Normal,129500
12,RL,85,11924,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,2005,2006,PConc,No,1175,GasA,Y,SBrkr,2324,1,0,3,0,4,1,11,Typ,2,BuiltIn,2005,3,736,Y,147,21,0,0,0,0,NA,0,7,2006,New,Partial,345000
13,RL,NA,12968,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,1962,1962,CBlock,No,912,GasA,Y,SBrkr,912,1,0,1,0,2,1,4,Typ,0,Detchd,1962,1,352,Y,140,0,0,0,176,0,NA,0,9,2008,WD,Normal,144000
14,RL,91,10652,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,2006,2007,PConc,Av,1494,GasA,Y,SBrkr,1494,0,0,2,0,3,1,7,Typ,1,Attchd,2006,3,840,Y,160,33,0,0,0,0,NA,0,8,2007,New,Partial,279500
15,RL,NA,10920,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,1960,1960,CBlock,No,1253,GasA,Y,SBrkr,1253,1,0,1,1,2,1,5,Typ,1,Attchd,1960,1,352,Y,0,213,176,0,0,0,NA,0,5,2008,WD,Normal,157000
16,RM,51,6120,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,1929,2001,BrkTil,No,832,GasA,Y,FuseA,854,0,0,1,0,2,1,5,Typ,0,Detchd,1991,2,576,Y,48,112,0,0,0,0,NA,0,7,2007,WD,Normal,132000
17,RL,NA,11241,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,1970,1970,CBlock,No,1004,GasA,Y,SBrkr,1004,1,0,1,0,2,1,5,Typ,1,Attchd,1970,2,480,Y,0,0,0,0,0,0,Shed,700,3,2010,WD,Normal,149000
18,RL,72,10791,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,1967,1967,Slab,NA,0,GasA,Y,SBrkr,1296,0,0,2,0,2,2,6,Typ,0,CarPort,1967,2,516,Y,0,0,0,0,0,0,Shed,500,10,2006,WD,Normal,90000
19,RL,66,13695,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,2004,2004,PConc,No,1114,GasA,Y,SBrkr,1114,1,0,1,1,3,1,6,Typ,0,Detchd,2004,2,576,Y,0,102,0,0,0,0,NA,0,6,2008,WD,Normal,159000
20,RL,70,7560,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1958,1965,CBlock,No,1029,GasA,Y,SBrkr,1339,0,0,1,0,3,1,6,Min1,0,Attchd,1958,1,294,Y,0,0,0,0,0,0,NA,0,5,2009,COD,Abnorml,139000
21,RL,101,14215,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,2005,2006,PConc,Av,1158,GasA,Y,SBrkr,2376,0,0,3,1,4,1,9,Typ,1,BuiltIn,2005,3,853,Y,240,154,0,0,0,0,NA,0,11,2006,New,Partial,325300
22,RM,57,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,1930,1950,PConc,No,637,GasA,Y,FuseF,1108,0,0,1,0,3,1,6,Typ,1,Attchd,1930,1,280,N,0,0,205,0,0,0,NA,0,6,2007,WD,Normal,139400
23,RL,75,9742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,2002,2002,PConc,No,1777,GasA,Y,SBrkr,1795,0,0,2,0,3,1,7,Typ,1,Attchd,2002,2,534,Y,171,159,0,0,0,0,NA,0,9,2008,WD,Normal,230000
24,RM,44,4224,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,1976,1976,PConc,No,1040,GasA,Y,SBrkr,1060,1,0,1,0,3,1,6,Typ,1,Attchd,1976,2,572,Y,100,110,0,0,0,0,NA,0,6,2007,WD,Normal,129900
25,RL,NA,8246,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,1968,2001,CBlock,Mn,1060,GasA,Y,SBrkr,1060,1,0,1,0,3,1,6,Typ,1,Attchd,1968,1,270,Y,406,90,0,0,0,0,NA,0,5,2010,WD,Normal,154000
26,RL,110,14230,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,2007,2007,PConc,No,1566,GasA,Y,SBrkr,1600,0,0,2,0,3,1,7,Typ,1,Attchd,2007,3,890,Y,0,56,0,0,0,0,NA,0,7,2009,WD,Normal,256300
27,RL,60,7200,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,1951,2000,CBlock,Mn,900,GasA,Y,SBrkr,900,0,1,1,0,3,1,5,Typ,0,Detchd,2005,2,576,Y,222,32,0,0,0,0,NA,0,5,2010,WD,Normal,134800
28,RL,98,11478,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,2007,2008,PConc,No,1704,GasA,Y,SBrkr,1704,1,0,2,0,3,1,7,Typ,1,Attchd,2008,3,772,Y,0,50,0,0,0,0,NA,0,5,2010,WD,Normal,306000
29,RL,47,16321,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,1957,1997,CBlock,Gd,1484,GasA,Y,SBrkr,1600,1,0,1,0,2,1,6,Typ,2,Attchd,1957,1,319,Y,288,258,0,0,0,0,NA,0,12,2006,WD,Normal,207500
30,RM,60,6324,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,1927,1950,BrkTil,No,520,GasA,N,SBrkr,520,0,0,1,0,1,1,4,Typ,0,Detchd,1920,1,240,Y,49,0,87,0,0,0,NA,0,5,2008,WD,Normal,68500
31,C (all),50,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,1920,1950,BrkTil,No,649,GasA,N,SBrkr,1317,0,0,1,0,3,1,6,Typ,0,Detchd,1920,1,250,N,0,54,172,0,0,0,NA,0,7,2008,WD,Normal,40000
32,RL,NA,8544,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,1966,2006,CBlock,No,1228,GasA,Y,SBrkr,1228,0,0,1,1,3,1,6,Typ,0,Attchd,1966,1,271,Y,0,65,0,0,0,0,NA,0,6,2008,WD,Normal,149350
33,RL,85,11049,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,2007,2007,PConc,Av,1234,GasA,Y,SBrkr,1234,0,0,2,0,3,1,7,Typ,0,Attchd,2007,2,484,Y,0,30,0,0,0,0,NA,0,1,2008,WD,Normal,179900
34,RL,70,10552,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1959,1959,CBlock,No,1398,GasA,Y,SBrkr,1700,0,1,1,1,4,1,6,Typ,1,Attchd,1959,2,447,Y,0,38,0,0,0,0,NA,0,4,2010,WD,Normal,165500
35,RL,60,7313,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,2005,2005,PConc,No,1561,GasA,Y,SBrkr,1561,1,0,2,0,2,1,6,Typ,1,Attchd,2005,2,556,Y,203,47,0,0,0,0,NA,0,8,2007,WD,Normal,277500
36,RL,108,13418,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,2004,2005,PConc,Av,1117,GasA,Y,SBrkr,2452,0,0,3,1,4,1,9,Typ,1,BuiltIn,2004,3,691,Y,113,32,0,0,0,0,NA,0,9,2006,WD,Normal,309000
37,RL,112,10859,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,1994,1995,PConc,No,1097,GasA,Y,SBrkr,1097,0,0,1,1,3,1,6,Typ,0,Attchd,1995,2,672,Y,392,64,0,0,0,0,NA,0,6,2009,WD,Normal,145000
38,RL,74,8532,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1954,1990,CBlock,No,1297,GasA,Y,SBrkr,1297,0,1,1,0,3,1,5,Typ,1,Attchd,1954,2,498,Y,0,0,0,0,0,0,NA,0,10,2009,WD,Normal,153000
39,RL,68,7922,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1953,2007,CBlock,No,1057,GasA,Y,SBrkr,1057,1,0,1,0,3,1,5,Typ,0,Detchd,1953,1,246,Y,0,52,0,0,0,0,NA,0,1,2010,WD,Abnorml,109000
40,RL,65,6040,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,1955,1955,PConc,NA,0,GasA,N,FuseP,1152,0,0,2,0,2,2,6,Typ,0,NA,NA,0,0,N,0,0,0,0,0,0,NA,0,6,2008,WD,AdjLand,82000
41,RL,84,8658,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1965,1965,CBlock,No,1088,GasA,Y,SBrkr,1324,0,0,2,0,3,1,6,Typ,1,Attchd,1965,2,440,Y,0,138,0,0,0,0,NA,0,12,2006,WD,Abnorml,160000
42,RL,115,16905,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,1959,1959,CBlock,Gd,1350,GasA,Y,SBrkr,1328,0,1,1,1,2,1,5,Typ,2,Attchd,1959,1,308,P,0,104,0,0,0,0,NA,0,7,2007,WD,Normal,170000
43,RL,NA,9180,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,1983,1983,CBlock,Av,840,GasA,Y,SBrkr,884,1,0,1,0,2,1,5,Typ,0,Attchd,1983,2,504,Y,240,0,0,0,0,0,NA,0,12,2007,WD,Normal,144000
44,RL,NA,9200,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,1975,1980,CBlock,Av,938,GasA,Y,SBrkr,938,1,0,1,0,3,1,5,Typ,0,Detchd,1977,1,308,Y,145,0,0,0,0,0,NA,0,7,2008,WD,Normal,130250
45,RL,70,7945,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1959,1959,CBlock,No,1150,GasA,Y,FuseA,1150,1,0,1,0,3,1,6,Typ,0,Attchd,1959,1,300,Y,0,0,0,0,0,0,NA,0,5,2006,WD,Normal,141000
46,RL,61,7658,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,2005,2005,PConc,No,1752,GasA,Y,SBrkr,1752,1,0,2,0,2,1,6,Typ,1,Attchd,2005,2,576,Y,196,82,0,0,0,0,NA,0,2,2010,WD,Normal,319900
47,RL,48,12822,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,2003,2003,PConc,No,1434,GasA,Y,SBrkr,2149,1,0,1,1,1,1,6,Typ,1,Attchd,2003,2,670,Y,168,43,0,0,198,0,NA,0,8,2009,WD,Abnorml,239686
48,FV,84,11096,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,2006,2006,PConc,Av,1656,GasA,Y,SBrkr,1656,0,0,2,0,3,1,7,Typ,0,Attchd,2006,3,826,Y,0,146,0,0,0,0,NA,0,7,2007,WD,Normal,249700
49,RM,33,4456,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,1920,2008,BrkTil,No,736,GasA,Y,SBrkr,1452,0,0,2,0,2,3,8,Typ,0,NA,NA,0,0,N,0,0,102,0,0,0,NA,0,6,2009,New,Partial,113000
50,RL,66,7742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,1966,1966,CBlock,No,955,GasA,Y,SBrkr,955,1,0,1,0,3,1,6,Typ,0,Attchd,1966,1,386,Y,0,0,0,0,0,0,NA,0,1,2007,WD,Normal,127000
51,RL,NA,13869,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,1997,1997,PConc,Av,794,GasA,Y,SBrkr,1470,0,1,2,0,3,1,6,Typ,0,Attchd,1997,2,388,Y,0,75,0,0,0,0,NA,0,7,2007,WD,Normal,177000
52,RM,52,6240,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,1934,1950,PConc,No,816,GasA,Y,SBrkr,1176,0,0,1,0,3,1,6,Typ,1,Detchd,1985,2,528,Y,112,0,0,0,0,0,Shed,400,9,2006,WD,Normal,114500
53,RM,110,8472,Grvl,NA,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,1963,1963,CBlock,Gd,816,GasA,N,SBrkr,816,1,0,1,0,2,1,5,Typ,0,CarPort,1963,2,516,Y,106,0,0,0,0,0,NA,0,5,2010,WD,Normal,110000
54,RL,68,50271,Pave,NA,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,1981,1987,CBlock,Gd,1842,GasA,Y,SBrkr,1842,2,0,0,1,0,1,5,Typ,1,Attchd,1981,3,894,Y,857,72,0,0,0,0,NA,0,11,2006,WD,Normal,385000
55,RL,60,7134,Pave,NA,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,1955,1955,CBlock,No,384,GasA,Y,SBrkr,1360,0,0,1,0,3,1,6,Min1,1,Detchd,1962,2,572,Y,0,50,0,0,0,0,NA,0,2,2007,WD,Normal,130000
56,RL,100,10175,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1964,1964,CBlock,No,1425,GasA,Y,SBrkr,1425,0,0,2,0,3,1,7,Typ,1,Attchd,1964,2,576,Y,0,0,0,407,0,0,NA,0,7,2008,WD,Normal,180500
57,FV,24,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,1999,2000,PConc,No,970,GasA,Y,SBrkr,1739,1,0,2,1,3,1,7,Typ,0,Attchd,1999,2,480,Y,115,0,0,0,0,0,NA,0,8,2009,WD,Abnorml,172500
58,RL,89,11645,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,2004,2004,PConc,No,860,GasA,Y,SBrkr,1720,0,0,2,1,3,1,7,Typ,0,Attchd,2004,2,565,Y,0,70,0,0,0,0,NA,0,8,2006,WD,Normal,196500
59,RL,66,13682,Pave,NA,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,2006,2006,PConc,Gd,1410,GasA,Y,SBrkr,2945,0,0,3,1,3,1,10,Typ,1,BuiltIn,2006,3,641,Y,192,0,37,0,0,0,NA,0,10,2006,New,Partial,438780
60,RL,60,7200,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,1972,1972,CBlock,Av,780,GasA,Y,SBrkr,780,0,0,1,0,2,1,4,Typ,0,Detchd,1973,1,352,Y,196,0,0,0,0,0,NA,0,1,2008,WD,Normal,124900
61,RL,63,13072,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,2004,2004,PConc,No,1158,GasA,Y,SBrkr,1158,1,0,1,1,3,1,5,Typ,0,Detchd,2006,2,576,Y,0,50,0,0,0,0,NA,0,5,2006,New,Partial,158000
62,RM,60,7200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,1920,1996,BrkTil,No,530,GasA,N,SBrkr,1111,0,0,1,0,3,1,6,Typ,0,Detchd,1935,1,288,N,0,0,144,0,0,0,NA,0,3,2007,WD,Normal,101000
63,RL,44,6442,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,2006,2006,PConc,Mn,1370,GasA,Y,SBrkr,1370,0,0,2,0,2,1,6,Typ,1,Attchd,2006,2,484,Y,120,49,0,0,0,0,NA,0,10,2007,WD,Normal,202500
64,RM,50,10300,Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,1921,1950,BrkTil,No,576,GasA,Y,SBrkr,1710,0,0,2,0,3,1,9,Typ,0,Detchd,1990,2,480,Y,12,11,64,0,0,0,NA,0,4,2010,WD,Normal,140000
65,RL,NA,9375,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,1997,1998,PConc,No,1057,GasA,Y,SBrkr,2034,1,0,2,1,3,1,8,Typ,0,Attchd,1998,2,645,Y,576,36,0,0,0,0,NA,0,2,2009,WD,Normal,219500
66,RL,76,9591,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,2004,2005,PConc,Av,1143,GasA,Y,SBrkr,2473,0,0,2,1,4,1,9,Typ,1,BuiltIn,2004,3,852,Y,192,151,0,0,0,0,NA,0,10,2007,WD,Normal,317000
67,RL,NA,19900,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosA,Norm,1Fam,1Story,1970,1989,CBlock,Gd,1947,GasA,Y,SBrkr,2207,1,0,2,0,3,1,7,Min1,1,Attchd,1970,2,576,Y,301,0,0,0,0,0,NA,0,7,2010,WD,Normal,180000
68,RL,72,10665,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,2003,2003,PConc,Av,1453,GasA,Y,SBrkr,1479,1,0,2,0,3,1,7,Typ,0,Attchd,2003,2,558,Y,144,29,0,0,0,0,NA,0,6,2007,WD,Normal,226000
69,RM,47,4608,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1Story,1945,1950,CBlock,No,747,GasA,Y,SBrkr,747,0,0,1,0,2,1,4,Typ,0,Attchd,1945,1,220,Y,0,0,0,0,0,0,NA,0,6,2010,WD,Normal,80000
70,RL,81,15593,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,1953,1953,CBlock,No,1304,GasW,Y,SBrkr,2287,0,0,2,0,3,1,7,Typ,1,Attchd,1953,2,667,Y,0,21,114,0,0,0,NA,0,7,2006,WD,Normal,225000
71,RL,95,13651,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1973,1973,CBlock,Gd,2223,GasA,Y,SBrkr,2223,1,0,2,0,3,1,8,Typ,2,Attchd,1973,2,516,Y,300,0,0,0,0,0,NA,0,2,2007,WD,Normal,244000
72,RL,69,7599,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,1982,2006,CBlock,No,845,GasA,Y,SBrkr,845,1,0,1,0,2,1,4,Typ,0,Detchd,1987,2,360,Y,0,0,0,0,0,0,NA,0,6,2007,WD,Normal,129500
73,RL,74,10141,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,1998,1998,PConc,No,832,GasA,Y,SBrkr,1718,0,0,2,1,3,1,7,Typ,1,Attchd,1998,2,427,Y,0,94,0,0,291,0,NA,0,12,2009,WD,Normal,185000
74,RL,85,10200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1954,2003,CBlock,No,1086,GasA,Y,SBrkr,1086,1,0,1,0,3,1,6,Typ,0,Attchd,1989,2,490,Y,0,0,0,0,0,0,NA,0,5,2010,WD,Normal,144900
75,RM,60,5790,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,1915,1950,CBlock,No,840,GasA,N,SBrkr,1605,0,0,2,0,3,2,8,Typ,0,Detchd,1915,1,379,Y,0,0,202,0,0,0,NA,0,5,2010,WD,Normal,107400
76,RM,21,1596,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SLvl,1973,1973,CBlock,Gd,462,GasA,Y,SBrkr,988,1,0,1,0,2,1,5,Typ,0,BuiltIn,1973,1,297,Y,120,101,0,0,0,0,NA,0,11,2009,WD,Normal,91000
77,RL,NA,8475,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1956,1956,CBlock,No,952,GasA,Y,FuseA,952,0,0,1,0,2,1,4,Typ,0,Detchd,1956,1,283,Y,0,0,0,0,0,0,NA,0,4,2008,WD,Normal,135750
78,RM,50,8635,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,1948,2001,CBlock,No,672,GasA,Y,SBrkr,1285,1,0,1,0,2,1,6,Min1,0,Detchd,1948,1,240,Y,0,0,0,0,0,0,NA,0,1,2008,WD,Normal,127000
79,RL,72,10778,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,1968,1968,CBlock,No,1768,GasA,N,SBrkr,1768,0,0,2,0,4,2,8,Typ,0,NA,NA,0,0,Y,0,0,0,0,0,0,NA,0,4,2010,WD,Normal,136500
80,RM,60,10440,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,1910,1981,PConc,No,440,GasA,Y,SBrkr,1230,0,0,1,1,2,1,5,Typ,0,Detchd,1966,2,440,Y,74,0,128,0,0,0,NA,0,5,2009,WD,Normal,110000
81,RL,100,13000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,2Story,1968,1968,CBlock,No,896,GasA,Y,SBrkr,2142,0,0,2,1,4,1,8,Typ,1,Attchd,1968,1,509,Y,0,72,0,0,252,0,NA,0,6,2009,WD,Normal,193500
82,RM,32,4500,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,TwnhsE,1Story,1998,1998,PConc,No,1237,GasA,Y,SBrkr,1337,1,0,2,0,2,1,5,Typ,0,Attchd,1998,2,405,Y,0,199,0,0,0,0,NA,0,3,2006,WD,Normal,153500
